Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.150.206.44,Croydon,2018-11-11T16:19:23.042Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.150.206.44,Croydon,2018-11-06T21:09:59.860Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.150.206.47,Croydon,2018-10-31T19:54:47.167Z
YVWBT-DT20-EE505111-5206-4F82-B11E-5EAD7DAFA601,GB,Youview British Telecom DTR-T2100 Set Top Box,Youview British Telecom DTR-T2100 Set Top Box,165.120.250.121,Lincolnshire,2018-10-30T14:03:02.771Z
YVWBT-DT20-EE505111-5206-4F82-B11E-5EAD7DAFA601,GB,Youview British Telecom DTR-T2100 Set Top Box,Youview British Telecom DTR-T2100 Set Top Box,165.120.250.121,Lincolnshire,2018-10-30T14:03:02.762Z
YVWBT-DT20-EE505111-5206-4F82-B11E-5EAD7DAFA601,GB,Youview British Telecom DTR-T2100 Set Top Box,Youview British Telecom DTR-T2100 Set Top Box,86.162.208.192,Stockport,2018-10-29T21:16:09.080Z
YVWBT-DT20-EE505111-5206-4F82-B11E-5EAD7DAFA601,GB,Youview British Telecom DTR-T2100 Set Top Box,Youview British Telecom DTR-T2100 Set Top Box,86.162.208.192,Stockport,2018-10-29T14:53:25.281Z
YVWBT-DT20-EE505111-5206-4F82-B11E-5EAD7DAFA601,GB,Youview British Telecom DTR-T2100 Set Top Box,Youview British Telecom DTR-T2100 Set Top Box,86.162.208.192,Stockport,2018-10-29T14:53:25.272Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.150.206.47,Croydon,2018-10-27T23:33:28.536Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.154.38.18,Staffordshire,2018-10-25T19:25:11.059Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.154.38.18,Staffordshire,2018-10-22T17:59:09.006Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.95.214,Wandsworth,2018-10-21T17:56:58.186Z
