Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Jane,iOS,movieDetails,,,2021-12-21 16:43:24
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:43:24
Jane,iOS,movieDetails,,,2021-12-21 16:43:21
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:43:20
Jane,iOS,movieDetails,,,2021-12-21 16:43:20
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:43:20
Jane,iOS,movieDetails,,,2021-12-21 16:43:16
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:43:16
Jane,iOS,movieDetails,,,2021-12-21 16:43:04
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:43:03
Jane,iOS,movieDetails,,,2021-12-21 16:43:03
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:43:03
Jane,iOS,movieDetails,,,2021-12-21 16:43:02
